"fraudulent","customer__customerEmail","customer__customerPhone","customer__customerDevice","customer__customerIPAddress","customer__customerBillingAddress","orders__orderId","orders__orderAmount","orders__orderState","orders__orderShippingAddress","paymentMethods__paymentMethodId","paymentMethods__paymentMethodRegistrationFailure","paymentMethods__paymentMethodType","paymentMethods__paymentMethodProvider","paymentMethods__paymentMethodIssuer","transactions__transactionId","transactions__orderId","transactions__paymentMethodId","transactions__transactionAmount","transactions__transactionFailed"
"","","","","","","hm3rth","46","fulfilled","620 Alexander Views\nMichaelstad, AK 94959-7484","gehl28i8u","False","card","JCB 16 digit","Bastion Banks","kckrvagp","hm3rth","76bw9eqg2","46","True"
"","","","","","","vvq05w","68","fulfilled","148 Russell Lodge Apt. 445\nPort Jenniferside, TN 60556-0871","olr4zf09x","False","card","VISA 13 digit","Grand Credit Corporation","2slep8t9","vvq05w","s6escw45g","68","False"
"","","","","","","xwo0al","59","fulfilled","148 Russell Lodge Apt. 445\nPort Jenniferside, TN 60556-0871","s6escw45g","False","card","JCB 16 digit","Solace Banks","yd80pfko","xwo0al","76bw9eqg2","59","False"
"","","","","","","2528x8","32","fulfilled","148 Russell Lodge Apt. 445\nPort Jenniferside, TN 60556-0871","","","","","","ckk3ux58","2528x8","w1i1zq3rg","32","False"
"True","robinsoncynthia@dunn.com","+65(5)8997489788","hbww39m1wenbq4ymjhsx","43.166.163.164","65233 Hutchinson Mountains\nMartinezside, OR 75588","vq7j5b","25","pending","764 Collier Springs\nJackfurt, NE 95955-5328","wferzj9en","False","paypal","JCB 15 digit","B","67qcpl0r","vq7j5b","n5fj5bc0e","25","False"
"","","","","","","","","","","n5fj5bc0e","False","card","VISA 16 digit","p","","","","",""
"True","samuel15@saunders-rhodes.com","05045239487","up7afvce5v0omniqlevq","33.67.35.30","3960 Emily Fort\nStaceytown, AR 21817-3325","sq7rk9","40","fulfilled","9447 Cook Extensions\nRebeccahaven, NY 78148-0238","je76d0ulj","False","apple pay","VISA 13 digit","x","9jutaun8","sq7rk9","je76d0ulj","40","True"
"","","","","","","","","","","dgrnyith9","False","card","JCB 16 digit","e","lla8uo92","sq7rk9","je76d0ulj","40","False"
"True","johnlowery@gmail.com","044-642-9860","rjb0adai34izqvys4938","212.144.68.190","484 Pamela Pass\nLake Jessicaview, WI 12942-9074","kanub7","65","fulfilled","484 Pamela Pass\nLake Jessicaview, WI 12942-9074","8xex97krx","False","card","VISA 16 digit","Her Majesty Trust","cfoevtai","kanub7","yxsf33ipw","65","True"
"","","","","","","605pbl","36","failed","484 Pamela Pass\nLake Jessicaview, WI 12942-9074","yxsf33ipw","False","bitcoin","Voyager","Bulwark Trust Corp.","300mewnx","kanub7","8xex97krx","65","False"
"","","","","","","7fs5td","68","fulfilled","484 Pamela Pass\nLake Jessicaview, WI 12942-9074","","","","","","kg0emdbe","605pbl","yxsf33ipw","36","False"
"","","","","","","ccuh4k","74","fulfilled","27513 Betty Gardens Suite 901\nStewartport, CA 27936-0627","","","","","","crwqqfpi","7fs5td","yxsf33ipw","68","False"
"","","","","","","lajvhn","55","fulfilled","484 Pamela Pass\nLake Jessicaview, WI 12942-9074","","","","","","u2xbyl92","ccuh4k","8xex97krx","74","True"
"","","","","","","","","","","","","","","","c5w6btep","lajvhn","8xex97krx","55","False"
"False","jameslandry@rodriguez.com","1-885-168-1310x338","yz4l2bgbvzra5eb5qcan","c899:ff67:6864:4365:def3:3023:655f:5181","USNS Price\nFPO AE 14661","mtg9kj","25","fulfilled","USNS Price\nFPO AE 14661","yk3gx9knx","False","card","Discover","Her Majesty Trust","idd9amrw","mtg9kj","yk3gx9knx","25","False"
"","","","","","","1b71xd","21","pending","USNS Price\nFPO AE 14661","","","","","","sihnojhc","1b71xd","yk3gx9knx","21","True"
"","","","","","","","","","","","","","","","2ta3i8e2","1b71xd","yk3gx9knx","21","True"
"","","","","","","","","","","","","","","","ksmxqqg3","1b71xd","yk3gx9knx","21","True"
"","","","","","","","","","","","","","","","8pssnrcy","1b71xd","yk3gx9knx","21","False"
"True","ubranch@rivera-parker.info","(772)964-8162x6310","6mpx027neyz6sh04n3ue","86.16.65.228","6974 Robertson Common Apt. 902\nPort Juanside, ID 80590-9633","","","","","37264k8rb","False","paypal","Mastercard","His Majesty Bank Corp.","","","","",""
"True","bowenwilliam@yahoo.com","(128)248-4091x37789","qmntgod0numz62gzbla7","231.91.253.19","27061 Wright Forks\nCraigland, MN 59915","a0dh26","40","fulfilled","256 Vang Prairie Suite 748\nWest Troyland, IA 65490-2272","4nt3vg6nr","False","card","Discover","c","i2xemksa","a0dh26","4nt3vg6nr","40","True"
"","","","","","","izik2o","18","pending","27061 Wright Forks\nCraigland, MN 59915","","","","","","fkxbbt2y","a0dh26","4nt3vg6nr","40","False"
"","","","","","","2sumqh","46","failed","27061 Wright Forks\nCraigland, MN 59915","","","","","","ud4zmsnq","izik2o","4nt3vg6nr","18","False"
"","","","","","","kcmymd","12","fulfilled","27061 Wright Forks\nCraigland, MN 59915","","","","","","wnlc7kcq","2sumqh","4nt3vg6nr","46","False"
"","","","","","","mocbj3","11","fulfilled","27061 Wright Forks\nCraigland, MN 59915","","","","","","uqgebkxo","kcmymd","4nt3vg6nr","12","False"
"","","","","","","","","","","","","","","","9u7gmxy2","mocbj3","4nt3vg6nr","11","True"
"False","ksummers@hotmail.com","1-023-275-4692","2ngkzu1idwxintmxwmgn","184.97.57.11","46383 Matthew Track Apt. 220\nRomanburgh, DC 95125","ji75jj","12","fulfilled","5918 Jeremy Spur Apt. 524\nMartinborough, SC 73839-0349","anpl44kz2","False","card","American Express","Bastion Banks","46ijodjq","ji75jj","14t4urgqg","12","False"
"","","","","","","5lyh0x","30","fulfilled","7792 Lambert Flats\nJessicaland, OK 69264","12sooz8hm","False","bitcoin","Maestro","Vertex Bancorp","xo1gdp22","5lyh0x","anpl44kz2","30","False"
"","","","","","","ha14ey","49","fulfilled","46383 Matthew Track Apt. 220\nRomanburgh, DC 95125","ahnb9wv33","False","card","VISA 13 digit","Her Majesty Trust","33jfoo59","ha14ey","14t4urgqg","49","True"
"","","","","","","ni3keo","45","fulfilled","46383 Matthew Track Apt. 220\nRomanburgh, DC 95125","14t4urgqg","False","card","Discover","Vertex Bancorp","i8bk4lna","ha14ey","ahnb9wv33","49","False"
"","","","","","","vvo42o","28","fulfilled","46383 Matthew Track Apt. 220\nRomanburgh, DC 95125","","","","","","7p73brx2","ni3keo","ahnb9wv33","45","True"
"","","","","","","","","","","","","","","","zwl18ddd","vvo42o","ahnb9wv33","28","True"
"","","","","","","","","","","","","","","","i8zlhilq","vvo42o","12sooz8hm","28","False"
"False","christineklein@wright-boyd.org","897-464-6425x941","j8cp1uydkuyza2eo0mir","4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2","67636 Renee Islands Suite 307\nTeresaview, ND 09042","abc26t","10","fulfilled","PSC 4895, Box 9024\nAPO AA 50628-5796","9pfrhknoz","False","bitcoin","VISA 16 digit","Citizens First Banks","fgobyd98","abc26t","9pfrhknoz","10","False"
"","","","","","","bdzhkd","45","pending","67636 Renee Islands Suite 307\nTeresaview, ND 09042","ow9u8ogs4","False","card","VISA 16 digit","Vertex Bancorp","c4fephmj","bdzhkd","ow9u8ogs4","45","False"
"","","","","","","l8smyt","46","fulfilled","957 Sheila Prairie\nWest Jacquelineburgh, DE 46455-3868","crro031sq","False","card","VISA 16 digit","Her Majesty Trust","07hkhmmf","l8smyt","ow9u8ogs4","46","False"
"","","","","","","0esxhp","16","fulfilled","355 Tamara Plains\nNorth Judyton, LA 04531","","","","","","jz6qu6zy","0esxhp","ow9u8ogs4","16","False"
"False","meganwalters@chavez.com","(522)133-8741x643","qsxqbn6qjxkni7f813qn","98.229.160.246","7541 Olson Glens\nBallshire, IL 29415","ooxrwm","43","fulfilled","PSC 5530, Box 9664\nAPO AE 46314","o2ct2h9fp","False","card","Mastercard","Her Majesty Trust","bhil44kr","ooxrwm","o2ct2h9fp","43","True"
"","","","","","","2p3zor","34","fulfilled","00287 Davidson Stravenue\nNew Staceytown, ND 18845","","","","","","nw0a0y9s","ooxrwm","o2ct2h9fp","43","False"
"","","","","","","","","","","","","","","","enl54gvp","2p3zor","o2ct2h9fp","34","True"
"","","","","","","","","","","","","","","","hkcfpxan","2p3zor","o2ct2h9fp","34","False"
"False","caleb94@sutton.info","07452086668","lixwrlvcr4g5ht600dk9","2efe:240f:cc33:306:8e47:b8d5:b466:f12a","813 Miller Lakes\nLake Christina, SD 29778-1298","49zp0m","19","failed","813 Miller Lakes\nLake Christina, SD 29778-1298","f2juuwuwy","False","paypal","JCB 16 digit","Her Majesty Trust","n7vnyysr","49zp0m","5a44rykx3","19","False"
"","","","","","","eqpu3r","46","fulfilled","813 Miller Lakes\nLake Christina, SD 29778-1298","5a44rykx3","False","card","VISA 16 digit","Solace Banks","mx7hay87","eqpu3r","5a44rykx3","46","False"
"","","","","","","gzlvco","39","fulfilled","813 Miller Lakes\nLake Christina, SD 29778-1298","","","","","","vby375q9","gzlvco","5a44rykx3","39","False"
"","","","","","","p1yden","35","fulfilled","813 Miller Lakes\nLake Christina, SD 29778-1298","","","","","","1ti2lm0o","p1yden","5a44rykx3","35","False"
"","","","","","","bkvs1p","46","failed","813 Miller Lakes\nLake Christina, SD 29778-1298","","","","","","fwq4f8bn","bkvs1p","5a44rykx3","46","False"
"True","gonzalesjackson@gmail.com","1-410-373-1228x129","hmkn4nmfc5q5mgify2zw","229.2.225.188","566 Courtney Stream\nReedland, NH 84853","s7dg4a","50","fulfilled","60769 Yang Fork\nPort Samanthachester, OH 10135-7083","7964l78jo","False","apple pay","VISA 16 digit","a","zcnztn97","s7dg4a","7964l78jo","50","False"
"","","","","","","jlzkil","41","fulfilled","566 Courtney Stream\nReedland, NH 84853","","","","","","zx8st0gu","jlzkil","7964l78jo","41","False"
"","","","","","","f8bsyg","44","fulfilled","611 Steven Land Suite 843\nLoganhaven, NY 14012","","","","","","fzvbpn58","f8bsyg","7964l78jo","44","False"
"","","","","","","u3ogjs","41","fulfilled","566 Courtney Stream\nReedland, NH 84853","","","","","","1wa1s613","u3ogjs","7964l78jo","41","False"
"False","dana09@yahoo.com","515.708.2280x105","wb0uylp0rwy01x5j1jzd","166.148.66.158","812 Moss Radial Suite 844\nNorth Patriciaburgh, MH 13975","giqilg","12","fulfilled","812 Moss Radial Suite 844\nNorth Patriciaburgh, MH 13975","ww9fq10ca","False","bitcoin","JCB 16 digit","Solace Banks","koade5oa","giqilg","1lejsiqz7","12","True"
"","","","","","","g56nmt","33","fulfilled","5145 Marquez Oval\nSouth Lisaborough, RI 54165","1lejsiqz7","False","card","JCB 16 digit","Bastion Banks","3cryzmi3","giqilg","ww9fq10ca","12","False"
"","","","","","","2ai67b","40","fulfilled","812 Moss Radial Suite 844\nNorth Patriciaburgh, MH 13975","","","","","","okdmow3s","g56nmt","1lejsiqz7","33","True"
"","","","","","","","","","","","","","","","wt1g1zul","g56nmt","ww9fq10ca","33","True"
"","","","","","","","","","","","","","","","2yzkbxnq","g56nmt","ww9fq10ca","33","False"
"","","","","","","","","","","","","","","","scls9w4j","2ai67b","1lejsiqz7","40","False"
"False","alec27@bell.com","895-224-8246x9667","cq5wya63n1w79o0hlnpm","128.61.46.131","6174 Nicholas Cliffs Suite 855\nWebsterview, MN 44283-0599","28xxko","34","pending","6174 Nicholas Cliffs Suite 855\nWebsterview, MN 44283-0599","366dsl3w0","False","card","VISA 16 digit","Her Majesty Trust","jbnf5zpw","28xxko","6n2psn50k","34","False"
"","","","","","","iyl91j","12","fulfilled","6174 Nicholas Cliffs Suite 855\nWebsterview, MN 44283-0599","6n2psn50k","False","card","Voyager","Fountain Financial Inc.","60kuyxra","iyl91j","6n2psn50k","12","False"
"","","","","","","j7ene4","30","fulfilled","6174 Nicholas Cliffs Suite 855\nWebsterview, MN 44283-0599","","","","","","vfrua0id","j7ene4","366dsl3w0","30","True"
"","","","","","","mir5zf","22","fulfilled","6174 Nicholas Cliffs Suite 855\nWebsterview, MN 44283-0599","","","","","","u6wa5ysx","j7ene4","6n2psn50k","30","True"
"","","","","","","","","","","","","","","","gj13pt1o","j7ene4","6n2psn50k","30","False"
"","","","","","","","","","","","","","","","jh5r2s3s","mir5zf","366dsl3w0","22","False"
"False","juliecook@hotmail.com","1-412-734-7967x67388","sj72s0k7wxdrxu3rcmba","61ba:a72b:5401:db1a:9833:d0da:254c:2369","1750 Alicia Shoals Apt. 000\nSouth Benjamin, ND 75373","p6g2g0","11","fulfilled","1750 Alicia Shoals Apt. 000\nSouth Benjamin, ND 75373","rqpuq19z6","False","card","Voyager","His Majesty Bank Corp.","5855qbk5","p6g2g0","rqpuq19z6","11","False"
"","","","","","","7y5qly","14","fulfilled","1750 Alicia Shoals Apt. 000\nSouth Benjamin, ND 75373","","","","","","6lf1jy8o","7y5qly","rqpuq19z6","14","False"
"False","meganberry@clark.biz","1-991-846-6271x54037","2vpovzopjoqppeqfa5nw","73.182.31.59","34944 Glenn Mountain\nSherryhaven, TN 36252","1d19rh","37","fulfilled","833 Mathis Prairie\nFergusonview, MH 81934-1374","bcetnywn4","False","card","JCB 16 digit","Her Majesty Trust","74b4ih1u","1d19rh","bcetnywn4","37","False"
"","","","","","","deh1ao","42","fulfilled","34944 Glenn Mountain\nSherryhaven, TN 36252","ck6cjfjv1","False","card","VISA 16 digit","Rose Bancshares","o4z2x2e9","deh1ao","bcetnywn4","42","True"
"","","","","","","xdmwyo","11","fulfilled","34944 Glenn Mountain\nSherryhaven, TN 36252","","","","","","1u5d7k9y","deh1ao","bcetnywn4","42","False"
"","","","","","","00z9c8","29","fulfilled","34944 Glenn Mountain\nSherryhaven, TN 36252","","","","","","85k8mjpo","xdmwyo","bcetnywn4","11","False"
"","","","","","","","","","","","","","","","ubm4tzca","00z9c8","bcetnywn4","29","False"
"False","psantiago@nelson.net","885.682.0863","qx6nhdabeaj329zdri0o","81.13.103.118","238 Reeves Villages\nLeslieton, SD 12318-4476","f5vg4r","31","fulfilled","238 Reeves Villages\nLeslieton, SD 12318-4476","yngba9iss","False","paypal","JCB 16 digit","Rose Bancshares","6p2l2jxb","f5vg4r","yngba9iss","31","False"
"False","harrisnicholas@mitchell-hancock.com","(922)411-5121x98410","y3m3px7h46gor851y1pu","58.13.30.104","357 Barbara Crossroad\nJacobsburgh, WY 09289-9170","xxn508","33","failed","357 Barbara Crossroad\nJacobsburgh, WY 09289-9170","llpmu63n4","False","apple pay","Mastercard","His Majesty Bank Corp.","k5x38nss","xxn508","1adbjdqx8","33","False"
"","","","","","","5vvhqu","47","fulfilled","357 Barbara Crossroad\nJacobsburgh, WY 09289-9170","1adbjdqx8","False","card","American Express","Citizens First Banks","6mas9ujn","5vvhqu","1adbjdqx8","47","True"
"","","","","","","o5mg40","25","fulfilled","357 Barbara Crossroad\nJacobsburgh, WY 09289-9170","","","","","","gkolnfbh","5vvhqu","llpmu63n4","47","False"
"","","","","","","dfwo2l","25","fulfilled","357 Barbara Crossroad\nJacobsburgh, WY 09289-9170","","","","","","vynq8mn9","o5mg40","1adbjdqx8","25","False"
"","","","","","","","","","","","","","","","5ccytrgf","dfwo2l","llpmu63n4","25","True"
"","","","","","","","","","","","","","","","3qr93r9x","dfwo2l","1adbjdqx8","25","False"
"False","davismike@hotmail.com","467-222-0933x910","4hzaaor6es3iyuiavyio","162.48.39.230","07078 Brent Ways Apt. 999\nAlvarezshire, ND 82309","j8w6hq","33","fulfilled","07078 Brent Ways Apt. 999\nAlvarezshire, ND 82309","otujzzu3i","True","bitcoin","Diners Club / Carte Blanche","Rose Bancshares","74rrit1l","j8w6hq","otujzzu3i","33","False"
"","","","","","","vo9fep","48","failed","07078 Brent Ways Apt. 999\nAlvarezshire, ND 82309","","","","","","15adxvt9","vo9fep","otujzzu3i","48","False"
"","","","","","","yqijlk","11","fulfilled","07078 Brent Ways Apt. 999\nAlvarezshire, ND 82309","","","","","","upzpdr9y","yqijlk","otujzzu3i","11","True"
"","","","","","","","","","","","","","","","lyq2dt5j","yqijlk","otujzzu3i","11","False"
"True","guerramichael@hotmail.com","299-883-0904","webmbgi39hwejv3d90kt","245.38.171.222","13553 Michelle Freeway Apt. 290\nTammyhaven, GU 02869-4630","","","","","e7pkpmorx","False","paypal","VISA 13 digit"," ","","","","",""
"False","natalie98@yahoo.com","02934317865","x5ts382m7jezato91fjz","89e:31aa:e9e2:90ea:aa00:4a8c:805c:20ea","23831 Adams Tunnel Suite 538\nNorth David, NE 92200-7011","ssdsca","23","fulfilled","23831 Adams Tunnel Suite 538\nNorth David, NE 92200-7011","kafhtdkmr","False","card","VISA 16 digit","His Majesty Bank Corp.","c60my23d","ssdsca","kafhtdkmr","23","False"
"False","karen54@mullins.biz","1-019-956-8013","ybz490o0v5781808jtzw","61.219.235.129","526 Ronald Cliffs\nWest Christinaville, GU 76418","xm4p49","38","fulfilled","526 Ronald Cliffs\nWest Christinaville, GU 76418","4rdcaqhb7","True","card","American Express","Vertex Bancorp","cw2apg23","xm4p49","4rdcaqhb7","38","False"
"","","","","","","w3av5p","12","fulfilled","526 Ronald Cliffs\nWest Christinaville, GU 76418","wlywsk5au","False","card","VISA 16 digit","Grand Credit Corporation","o16cfq48","w3av5p","wlywsk5au","12","True"
"","","","","","","94y9qn","15","failed","51492 Sanchez Junctions Suite 947\nPort Madeline, GU 69686","","","","","","r3gj74vr","w3av5p","4rdcaqhb7","12","True"
"","","","","","","h0j383","11","fulfilled","526 Ronald Cliffs\nWest Christinaville, GU 76418","","","","","","dgx25sxc","w3av5p","4rdcaqhb7","12","False"
"","","","","","","8iq07j","39","failed","137 Justin Circle Suite 952\nHenrymouth, CO 60210-8162","","","","","","n47dl09n","94y9qn","wlywsk5au","15","True"
"","","","","","","","","","","","","","","","q8z8feru","94y9qn","wlywsk5au","15","False"
"","","","","","","","","","","","","","","","5vwwh56j","h0j383","4rdcaqhb7","11","False"
"","","","","","","","","","","","","","","","lkq1ib9d","8iq07j","wlywsk5au","39","False"
"False","avaldez@gmail.com","203-573-2041","bwgvb5w8dm6upvi7ucqc","46.130.37.206","304 Heather Fall\nEast Christina, UT 45880-4522","uotwbi","19","fulfilled","304 Heather Fall\nEast Christina, UT 45880-4522","ogeeyw724","False","paypal","Maestro","Solace Banks","j8cy8qqf","uotwbi","ogeeyw724","19","True"
"","","","","","","","","","","","","","","","n4lw10e3","uotwbi","ogeeyw724","19","False"
"False","blackjoel@wright.com","621.591.0560","smxfahki83m4rgsvgvki","9717:f390:29c6:8d60:aee7:a054:1b90:9493","Unit 0643 Box 8346\nDPO AA 55632-6780","f3zu8d","45","fulfilled","Unit 0643 Box 8346\nDPO AA 55632-6780","jud25x4mo","False","card","Maestro","Vertex Bancorp","ueos82ny","f3zu8d","jud25x4mo","45","False"
"","","","","","","kv9he2","50","fulfilled","Unit 0643 Box 8346\nDPO AA 55632-6780","","","","","","p5gx6q9w","kv9he2","jud25x4mo","50","False"
"","","","","","","cs48h5","42","fulfilled","Unit 0643 Box 8346\nDPO AA 55632-6780","","","","","","2zbevcd8","cs48h5","jud25x4mo","42","False"
"","","","","","","eonqhv","10","fulfilled","Unit 0643 Box 8346\nDPO AA 55632-6780","","","","","","r1r4ce3k","eonqhv","jud25x4mo","10","False"
"","","","","","","zxk81a","30","fulfilled","Unit 0643 Box 8346\nDPO AA 55632-6780","","","","","","er8zjgzm","zxk81a","jud25x4mo","30","True"
"","","","","","","","","","","","","","","","hqtzz2ib","zxk81a","jud25x4mo","30","False"
"False","abigail08@yahoo.com","650-489-7595x7901","0g6v7n9n8k4pekxpqj2e","72.251.102.162","3764 Stanley Hollow\nEast Catherine, CT 98470","naiygn","48","failed","419 Janice Manors Apt. 698\nNew Susanview, PA 33955-3875","tfcg9eqwk","True","card","Maestro","Bulwark Trust Corp.","r6c5d2vo","naiygn","st34e000q","48","True"
"","","","","","","any2ki","42","pending","129 Sandra Meadows Suite 923\nEast Jenniferport, SC 47493","st34e000q","False","card","VISA 16 digit","Vertex Bancorp","oquhv695","naiygn","st34e000q","48","False"
"","","","","","","l98c04","29","fulfilled","3764 Stanley Hollow\nEast Catherine, CT 98470","","","","","","1aq5meg1","any2ki","st34e000q","42","True"
"","","","","","","","","","","","","","","","zu65tthv","any2ki","st34e000q","42","False"
"","","","","","","","","","","","","","","","97sqcd6l","l98c04","tfcg9eqwk","29","False"
"True","catherine64@gmail.com","563-396-2038x288","myjxxvd3jfn1eymfy50n","1289:d2a9:c65d:8fc7:7be4:129b:d7b:cf7b","372 Michael Club Suite 553\nHerrerafort, MH 52953","j4izq0","65","failed","372 Michael Club Suite 553\nHerrerafort, MH 52953","oue6y8ugr","False","card","Voyager","Vertex Bancorp","s3hfs4fc","j4izq0","5ad6rm0sb","65","False"
"","","","","","","81bac4","75","pending","372 Michael Club Suite 553\nHerrerafort, MH 52953","0lqd0lah5","False","bitcoin","JCB 16 digit","Her Majesty Trust","8810813t","81bac4","rc5kwqehi","75","False"
"","","","","","","y73qvk","58","fulfilled","372 Michael Club Suite 553\nHerrerafort, MH 52953","5ad6rm0sb","False","card","Maestro","Vertex Bancorp","w2nnyowa","y73qvk","5ad6rm0sb","58","True"
"","","","","","","sd4v17","58","fulfilled","2182 Samantha Gardens\nElliottview, MP 18669","0jzj5lgyb","False","card","Diners Club / Carte Blanche","Bulwark Trust Corp.","iw7bakk3","y73qvk","0lqd0lah5","58","False"
"","","","","","","","","","","0tvw8yj4z","False","card","JCB 16 digit","Fountain Financial Inc.","c2b8df2a","sd4v17","0tvw8yj4z","58","False"
"","","","","","","","","","","rc5kwqehi","False","bitcoin","VISA 13 digit","Grand Credit Corporation","","","","",""
"False","romerolauren@hotmail.com","(099)775-4222","k8t5eytta8tc8y593lcr","846:e2b8:6318:5636:946d:ca83:8076:d098","34958 Sean View\nWest Robert, DE 93344-9833","ag3x4z","32","fulfilled","34958 Sean View\nWest Robert, DE 93344-9833","243b5b285","False","card","VISA 16 digit","Fountain Financial Inc.","xph56a1n","ag3x4z","243b5b285","32","False"
"","","","","","","rn62d8","36","fulfilled","34958 Sean View\nWest Robert, DE 93344-9833","","","","","","nonzx5wh","rn62d8","243b5b285","36","False"
"False","qramsey@hotmail.com","+45(0)7468859801","0o4xh6wbyuxwchh1la5f","58.43.60.165","87265 Woods Square\nPort Heidimouth, LA 03208-8304","x4u7kx","14","fulfilled","87265 Woods Square\nPort Heidimouth, LA 03208-8304","yi3002uzs","False","card","Maestro","His Majesty Bank Corp.","5hj630hg","x4u7kx","yi3002uzs","14","True"
"","","","","","","du631k","15","fulfilled","87265 Woods Square\nPort Heidimouth, LA 03208-8304","uljh0fhae","False","card","VISA 16 digit","Citizens First Banks","pz9du9rq","x4u7kx","yi3002uzs","14","False"
"","","","","","","eunjto","46","fulfilled","87265 Woods Square\nPort Heidimouth, LA 03208-8304","","","","","","fv1q37k3","du631k","uljh0fhae","15","False"
"","","","","","","mlsqph","18","fulfilled","87265 Woods Square\nPort Heidimouth, LA 03208-8304","","","","","","mh712ehl","eunjto","yi3002uzs","46","False"
